                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.18% (0.77%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  8.85% (1.31%) * |  3.75% (0.68%) * |  1.40% (0.46%) * |  1.35% (0.24%) * |  0.69% (0.20%) *
audiology       |     74.77% | 62.50% (6.64%) * | 47.43% (5.04%) * | 28.98% (3.30%) * | 22.17% (2.00%) * | 22.97% (1.67%) *
autos           |     67.35% | 68.00% (6.40%)   | 47.40% (6.90%) * | 34.31% (3.23%) * | 29.12% (2.80%) * | 21.36% (3.42%) *
credit-a        |     44.49% | 19.64% (2.66%) * | 12.73% (1.18%) * | 20.19% (1.82%) * | 19.58% (1.34%) * | 19.36% (1.08%) *
hypothyroid     |      7.71% |  2.87% (0.46%) * |  1.58% (0.32%) * |  0.64% (0.06%) * |  0.73% (0.11%) * |  0.63% (0.08%) *
letter          |     96.26% | 28.53% (0.48%) * | 21.43% (0.37%) * | 16.43% (0.27%) * | 13.33% (0.14%) * | 11.78% (0.20%) *
microarray      |     50.20% | 51.70% (4.89%)   | 52.84% (3.06%) * | 50.78% (1.93%)   | 46.58% (2.01%) * | 49.37% (1.53%)  
vote            |     38.63% | 14.00% (3.46%) * |  6.07% (1.55%) * |  7.10% (1.30%) * |  2.98% (0.43%) * |  5.95% (0.60%) *

